"","ID","Date","Price","Location"
"191","565865","8/14/2009","225000","Quarter: SW/4 Section: 28 Township: 36 Range: 13 Subdiv..."
"192","566019","8/19/2009","160800","Section: 10 Township: 36 Range: 13"
"193","566333","8/28/2009","100000","Section: 3 Township: 35 Range: 16"
"194","566340","9/4/2009","169000","Section: 7 Township: 37 Range: 16"
"195","566445","9/10/2009","215000","Section: 36 Township: 37 Range: 16"
"196","566617","9/18/2009","255000","Quarter: NW/4 Section: 25 Township: 37 Range: 15"
"197","566697","9/21/2009","125000","Section: 26 Township: 36 Range: 16"
"198","566858","9/29/2009","75000","Quarter: NW/4 Section: 13 Township: 36 Range: 14"
"199","566880","9/25/2009","123000","Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv..."
"200","566894","9/30/2009","125000","0 Subdivision: WEST FORK RANCH CABIN SITES Tract: 17"
"201","566901","9/25/2009","115000","Quarter: NW/4 Section: 24 Township: 37 Range: 17"
"202","566926","9/28/2009","260000","Section: 4 Township: 36 Range: 16"
"203","567027","10/7/2009","30000","Quarter: SW Section: 3 Township: 38 Range: 17 Subdivisi..."
"204","567067","10/8/2009","242500","Quarter: SW/4 Section: 18 Township: 36 Range: 15 Subdiv..."
"205","567133","10/13/2009","159100","Section: 34 Township: 36 Range: 18"
"206","567167","10/14/2009","110000","Quarter: SE/4 Section: 27 Township: 36 Range: 16 Subdiv..."
"207","567215","10/15/2009","350000","Section: 5 Township: 35 Range: 15"
"208","567244","10/19/2009","246000","Quarter: SW/4 Section: 35 Township: 37 Range: 16"
"209","567269","10/20/2009","83600","Quarter: NE/4 Section: 16 Township: 36 Range: 16"
"210","567370","10/26/2009","382500","Section: 2 Township: 36 Range: 16 Subdivision: MILDRED ..."
"211","567385","10/23/2009","197000","Quarter: SE/4 Section: 34 Township: 37 Range: 14"
"212","567429","10/29/2009","140000","Section: 16 Township: 37 Range: 16"
"213","567553","11/3/2009","91000","Section: 1 Township: 36 Range: 14 Subdivision: LONE PIN..."
"214","567617","11/9/2009","350000","Sixteenth: SE Quarter: NW Section: 17 Township: 37 Range..."
"215","567774","11/17/2009","195000","Section: 9 Township: 36 Range: 15"
"216","567860","11/20/2009","62500","Quarter: NE/4 Section: 33 Township: 37 Range: 14 Subdiv..."
"217","567892","11/20/2009","151900","Section: 10 Township: 35 Range: 16 TR SE1/4SE1/4 3.04A ..."
"218","567934","11/25/2009","133500","Quarter: SW/4 Section: 35 Township: 37 Range: 16"
"219","567937","11/25/2009","161400","Quarter: SW Section: 3 Township: 38 Range: 17 Subdivisi..."
"220","568019","12/2/2009","387000","Section: 2 Township: 36 Range: 16 Subdivision: LEBANON ..."
"221","568038","12/2/2009","60000","Quarter: NW/4 Section: 35 Township: 36 Range: 16"
"222","568038","12/2/2009","60000","Quarter: NW/4 Section: 35 Township: 36 Range: 16"
"223","568038","12/2/2009","60000","Quarter: NW/4 Section: 35 Township: 36 Range: 16"
"224","568038","12/2/2009","60000","Quarter: NW/4 Section: 35 Township: 36 Range: 16"
"225","568038","12/2/2009","60000","Quarter: NW/4 Section: 35 Township: 36 Range: 16"
"226","568038","12/2/2009","60000","Quarter: NW/4 Section: 35 Township: 36 Range: 16"
"227","568038","12/2/2009","60000","Quarter: NW/4 Section: 35 Township: 36 Range: 16"
"228","568038","12/2/2009","60000","Quarter: NW/4 Section: 35 Township: 36 Range: 16"
"229","568038","12/2/2009","60000","Quarter: NW/4 Section: 35 Township: 36 Range: 16"
"230","568044","11/19/2009","83600","Quarter: NE/4 Section: 16 Township: 36 Range: 16"
"231","568072","12/7/2009","300000","Quarter: SW/4 Section: 22 Township: 36 Range: 14 Subdiv..."
"232","568136","12/3/2009","132000","Quarter: NE/4 Section: 33 Township: 37 Range: 14 Subdiv..."
"233","568160","11/6/2009","90000","Section: 7 Township: 35 Range: 16 Subdivision: SAGE HIL..."
"234","568189","12/11/2009","145000","Quarter: SW/4 Section: 10 Township: 37 Range: 16"
"235","568293","12/14/2009","90000","Section: 6 Township: 36 Range: 13"
"236","568342","12/18/2009","269000","Quarter: SW/4 Section: 31 Township: 37 Range: 16"
"237","568347","11/11/2009","175000","Quarter: SW/4 Section: 19 Township: 37 Range: 16 Subdiv..."
"238","568351","12/17/2009","140000","Quarter: NE/4 Section: 19 Township: 39 Range: 17"
"239","568361","12/18/2009","228500","Quarter: SE/4 Section: 34 Township: 37 Range: 14"
"240","568418","12/23/2009","200000","Section: 6 Township: 37 Range: 16 Subdivision: SUNNYSID..."
"241","568510","12/22/2009","91000","Section: 1 Township: 36 Range: 14 Subdivision: LONE PIN..."
"242","568649","1/8/2010","169000","0 Subdivision: LEBANON TOWNSITE Block: 24 Lot: 1-4"
"243","568724","1/13/2010","70000","Quarter: NE/4 Section: 31 Township: 35 Range: 16"
"244","568778","1/14/2010","199000","Section: 7 Township: 36 Range: 15"
"245","568823","1/19/2010","35000","Quarter: SW/4 Section: 11 Township: 35 Range: 16"
"246","569112","2/8/2010","165000","Quarter: SE/4 Section: 10 Township: 37 Range: 15 Subdiv..."
"247","569136","2/10/2010","470000","Quarter: SW/4 Section: 31 Township: 37 Range: 16"
"248","569271","2/12/2010","175000","Quarter: SE/4 Section: 30 Township: 36 Range: 13"
"249","569332","2/19/2010","55000","Quarter: SE/4 Section: 26 Township: 39 Range: 17 Subdiv..."
"250","569408","2/25/2010","223500","Quarter: NW/4 Section: 30 Township: 36 Range: 15 Subdiv..."
"251","569440","2/26/2010","210000","Quarter: NW/4 Section: 11 Township: 36 Range: 16"
"252","569477","3/2/2010","390000","Quarter: NE/4 Section: 24 Township: 36 Range: 16 Subdiv..."
"253","569697","3/18/2010","139900","Quarter: NE/4 Section: 16 Township: 37 Range: 15 Subdiv..."
"254","569741","3/19/2010","139900","Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv..."
"255","569910","3/26/2010","160000","Section: 26 Township: 36 Range: 16"
"256","569977","3/26/2010","185000","Subdivision: GEORGE BAUERS (FIRST & SECOND) Lot: 1 Block..."
"257","569983","3/31/2010","220000","Quarter: SW/4 Section: 14 Township: 36 Range: 16"
"258","570093","3/26/2010","255000","Section: 9 Township: 36 Range: 16 Subdivision: TULAROSA..."
