ID,Date,Price,Location
561863,2/25/2009,"$50,000.00 ",Quarter: NW/4 Section: 11 Township: 38 Range: 18
561959,3/2/2009,"$46,000.00 ",Quarter: NW Section: 4 Township: 35 Range: 16 Subdivisi...
562104,3/6/2009,"$165,000.00 ",Section: 29 Township: 38 Range: 16
562261,3/16/2009,"$100,000.00 ",Quarter: NW/4 Section: 16 Township: 35 Range: 16
562273,3/16/2009,"$245,000.00 ",Section: 24 Township: 36 Range: 16
562327,3/20/2009,"$157,000.00 ",Section: 26 Township: 36 Range: 16
562476,3/26/2009,"$60,000.00 ",Quarter: NW/4 Section: 11 Township: 38 Range: 18
562514,3/27/2009,"$96,000.00 ",Section: 11 Township: 36 Range: 16
562536,3/30/2009,"$68,500.00 ",Quarter: NE/4 Section: 28 Township: 36 Range: 14 Subdiv...
562667,4/1/2009,"$320,000.00 ",Quarter: NW/4 Section: 28 Township: 37 Range: 14 Subdiv...
562669,3/19/2009,"$141,500.00 ",Section: 33 Township: 36 Range: 13
562762,4/6/2009,"$200,000.00 ",Quarter: NE/4 Section: 24 Township: 36 Range: 16 Subdiv...
562774,4/9/2009,"$109,000.00 ",Section: 5 Township: 35 Range: 13
562921,4/15/2009,"$217,500.00 ",Section: 8 Township: 36 Range: 16
562972,4/17/2009,"$149,900.00 ",Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv...
563241,4/29/2009,"$170,000.00 ",Section: 28 Township: 36 Range: 13
563380,5/4/2009,"$250,000.00 ",Quarter: NW/4 Section: 31 Township: 37 Range: 15 Subdiv...
563429,5/7/2009,"$75,000.00 ",Quarter: SW/4 Section: 36 Township: 39 Range: 14
563480,5/8/2009,"$30,000.00 ",Section: 6 Township: 38 Range: 17
563594,5/13/2009,"$45,000.00 ",Section: 26 Township: 36 Range: 16
563729,5/18/2009,"$65,000.00 ",0 Subdivision: SCHWARZKOPF ACRES 5 LOT MODERATE Lot: A
563796,5/21/2009,"$78,000.00 ",Section: 8 Township: 37 Range: 16 Subdivision: DAKOTAS ...
563863,5/22/2009,"$165,500.00 ",Quarter: NW Section: 4 Township: 35 Range: 16 Subdivisi...
563865,5/23/2009,"$55,000.00 ",Quarter: NW/4 Section: 13 Township: 36 Range: 17
563925,5/22/2009,"$295,000.00 ",Quarter: SE/4 Section: 17 Township: 38 Range: 17
563925,5/22/2009,"$295,000.00 ",Quarter: SE/4 Section: 17 Township: 38 Range: 17
563925,5/22/2009,"$295,000.00 ",Quarter: SE/4 Section: 17 Township: 38 Range: 17
563925,5/22/2009,"$295,000.00 ",Quarter: SE/4 Section: 17 Township: 38 Range: 17
