"","SiteID","symbol","N","mean","sd","se"
"312","GUSG_DENSE","WL",12,4.88888888888889,5.04791852960025,1.457208560956
"313","IM","ACHY",2,2,0,0
"314","IM","ADLE",2,0,0,0
"315","IM","AGCR",2,0,0,0
"316","IM","ARFR4",2,0,0,0
"317","IM","ARNO4",2,0.666666666666665,0.942809041582061,0.666666666666665
"318","IM","ARPU9",2,0,0,0
"319","IM","ARTR2",2,1,1.4142135623731,1
"320","IM","ASAM5",2,0,0,0
"321","IM","ASTRA",2,1,1.4142135623731,1
"322","IM","ASTRA01",2,0,0,0
"323","IM","ASTRA2",2,1,1.4142135623731,1
"324","IM","ATCA2",2,0,0,0
"325","IM","ATCO",2,0,0,0
"326","IM","BOGR2",2,23,32.5269119345812,23
"327","IM","BRTE",2,0,0,0
"328","IM","BUNKF01",2,0,0,0
"329","IM","CHDE2",2,0.333333333333333,0.471404520791032,0.333333333333333
"330","IM","CHER2",2,0,0,0
"331","IM","CHVI8",2,0,0,0
"332","IM","COWRW",2,0,0,0
"333","IM","CRMI",2,0.333333333333333,0.471404520791032,0.333333333333333
"334","IM","DEPI",2,0,0,0
"335","IM","DRCU",2,0,0,0
"336","IM","ELEL5",2,2.33333333333333,3.29983164553722,2.33333333333333
"337","IM","ERCI6",2,0,0,0
"338","IM","ERCO27",2,0,0,0
"339","IM","ERIGE2",2,0,0,0
"340","IM","ERIGERON SP.",2,0,0,0
"341","IM","ERLE10",2,0,0,0
"342","IM","ERLO4",2,0,0,0
"343","IM","ERNA10",2,0,0,0
"344","IM","ERPU9",2,0,0,0
"345","IM","GUSA2",2,5,7.07106781186548,5
"346","IM","HECO26",2,1.66666666666666,2.35702260395516,1.66666666666666
"347","IM","HL",2,43,22.1560124771785,15.6666666666667
"348","IM","HYFI",2,0,0,0
"349","IM","IPPU4",2,0,0,0
"350","IM","IPRO",2,0,0,0
"351","IM","JUOS",2,0,0,0
"352","IM","KRLA2",2,0,0,0
"353","IM","LAOC3",2,3.33333333333333,4.71404520791032,3.33333333333333
"354","IM","LARE",2,0,0,0
"355","IM","LEMO2",2,0,0,0
"356","IM","LEMO3",2,0.333333333333333,0.471404520791032,0.333333333333333
"357","IM","LESA4",2,0,0,0
"358","IM","MAPI",2,0,0,0
"359","IM","MAVU",2,0,0,0
"360","IM","None",2,35.3333333333333,36.7695526217004,26
"361","IM","OECA10",2,0,0,0
"362","IM","OPPO",2,0.666666666666665,0.942809041582061,0.666666666666665
"363","IM","ORFA",2,0,0,0
"364","IM","PAMU11",2,0,0,0
"365","IM","PASM",2,0,0,0
"366","IM","PEBR9",2,0,0,0
"367","IM","PEPU7",2,4.66666666666667,6.59966329107444,4.66666666666667
"368","IM","PHAU3",2,0.666666666666665,0.942809041582061,0.666666666666665
"369","IM","PHHOC",2,0,0,0
"370","IM","PHLO2",2,0.333333333333333,0.471404520791032,0.333333333333333
